year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2019,Tesla,Model X P100D,Model X,40.82,39.54,37.98,All-Wheel Drive,41197,289,279.86,300.21,112.5,120.9,193 (front) 375 (rear) (100 kW-hr battery pack),Automatic (A1),0.4082,0.3954,0.3798,128.1096
2026,BMW,iX xDrive60 (23 inch Wheels),iX,38.8,39.56,40.5,All-Wheel Drive,49626,318,324,311,124.1,118.9,190 and 230 kW EESM,Automatic (A1),0.388,0.3956,0.405,128.1744
2025,Vinfast,VF 6 Plus,VF 6,38.15,39.58,41.33,Front-Wheel Drive,49084,176,182,168,126.2,116.5,150 kW ACPM 3-Phase,Automatic (A1),0.3815,0.3958,0.4133,128.2392
2024,BMW,i5 M60 xDrive Sedan (21 inch Wheels),i5,39.87,39.6,39.27,4-Wheel Drive,46928,240,238,242,119.2,121,190 kW EESM,Automatic (A1),0.3987,0.396,0.3927,128.304
2025,Chevrolet,Blazer EV AWD SS,Blazer,36.48,39.67,43.57,All-Wheel Drive,49068,303,327,274,132,110.5,155 and 220 kW ACPM,Automatic (A1),0.3648,0.3967,0.4357,128.5308
2026,Chevrolet,Blazer EV AWD SS,Blazer,36.48,39.67,43.57,All-Wheel Drive,49954,302,326,273,132,110.5,67 and 180 kW AC Induction,Automatic (A1),0.3648,0.3967,0.4357,128.5308
2024,Audi,e-tron GT,e-tron GT,39.67,39.71,39.76,All-Wheel Drive,46908,249,249,249,120.72,120.43,175 kW PMSM 3-Phase,Automatic (A2),0.3967,0.3971,0.3976,128.6604
2024,Audi,RS e-tron GT,RS e-tron GT,39.67,39.71,39.76,All-Wheel Drive,46909,249,249,249,120.72,120.43,175 kW PMSM 3-Phase,Automatic (A2),0.3967,0.3971,0.3976,128.6604
2026,Cadillac,LYRIQ AWD,LYRIQ,36.39,39.71,43.77,All-Wheel Drive,49948,303,328,273,132.3,110,"140, 155, 205 and 220 kW ACPM",Automatic (A1),0.3639,0.3971,0.4377,128.6604
2025,Cadillac,LYRIQ AWD (19 kW Charger),LYRIQ,36.43,39.76,43.82,All-Wheel Drive,48693,303,328,273,132.14,109.86,155 and 220 kW ACPM,Automatic (A1),0.3643,0.3976,0.4382,128.8224
2026,Mercedes-Benz,EQS 680 4matic Maybach (SUV),EQS,39.79,39.82,39.86,All-Wheel Drive,49690,300,300,300,121,120.8,174 and 310 kW ACPM 6-Phase,Automatic (A1),0.3979,0.3982,0.3986,129.0168
2025,BMW,i7 eDrive50 Sedan (20 inch Wheels),i7,41.33,39.87,38.09,Rear-Wheel Drive,48326,301,290,315,116.5,126.4,335 kW EESM,Automatic (A1),0.4133,0.3987,0.3809,129.1788
2026,BMW,i7 eDrive50 Sedan (20 inch Wheels),i7,41.33,39.87,38.09,Rear-Wheel Drive,49941,301,290,315,116.5,126.4,335 kW EESM,Automatic (A1),0.4133,0.3987,0.3809,129.1788
2025,Rivian,R1T Dual Standard (22in),R1T,36.71,39.89,43.77,Part-time 4-Wheel Drive,48424,270,291,244,127.7,107.1,208 and 208 kW ACPM,Automatic (A1),0.3671,0.3989,0.4377,129.2436
2025,Rivian,R1S Dual Standard (22in),R1S,36.71,39.89,43.77,Part-time 4-Wheel Drive,48436,270,291,244,127.7,107.1,208 and 208 kW ACPM,Automatic (A1),0.3671,0.3989,0.4377,129.2436
2026,Rivian,R1T Dual Standard (22in),R1T,36.71,39.89,43.77,Part-time 4-Wheel Drive,49691,270,291,244,127.7,107.1,208 kW ACPM,Automatic (A1),0.3671,0.3989,0.4377,129.2436
2026,Rivian,R1S Dual Standard (22in),R1S,36.71,39.89,43.77,Part-time 4-Wheel Drive,49716,270,291,244,127.7,107.1,208 kW ACPM,Automatic (A1),0.3671,0.3989,0.4377,129.2436
2024,Rivian,R1T Dual Max (21in),R1T,37.04,39.94,43.5,Part-time 4-Wheel Drive,47870,410,439,374,127.9,108.9,208 and 208 kW ACPM,Automatic (A1),0.3704,0.3994,0.435,129.4056
2024,Rivian,R1T Performance Dual Max (21in),R1T,37.04,39.94,43.5,Part-time 4-Wheel Drive,47878,410,439,374,127.9,108.9,208 and 208 kW ACPM,Automatic (A1),0.3704,0.3994,0.435,129.4056
2025,Rivian,R1S Dual Max (22in),R1S,36.91,39.94,43.64,Part-time 4-Wheel Drive,48434,410,441,373,129,109.1,264 and 264 kW ACPM,Automatic (A1),0.3691,0.3994,0.4364,129.4056
2025,Rivian,R1S Performance Dual Max (22in),R1S,36.91,39.94,43.64,Part-time 4-Wheel Drive,48439,410,441,373,129,109.1,208 and 208 kW ACPM,Automatic (A1),0.3691,0.3994,0.4364,129.4056
2026,Rivian,R1S Dual Max (22in),R1S,36.91,39.94,43.64,Part-time 4-Wheel Drive,49719,410,441,373,129,109.1,264 kW ACPM,Automatic (A1),0.3691,0.3994,0.4364,129.4056
2026,Rivian,R1S Performance Dual Max (22in),R1S,36.91,39.94,43.64,Part-time 4-Wheel Drive,49722,410,441,373,129,109.1,264 kW ACPM,Automatic (A1),0.3691,0.3994,0.4364,129.4056
